word,ratio,cantidadLetras,gotAccent,gotCedilla,doubleVocal,enCC,y
gran,0.25,4,0,0,0,0,1
numeral,0.4286,7,0,0,0,0,1
germà,0.2,5,1,0,0,0,1
empresa,0.4286,7,0,0,0,0,1
davant,0.3333,6,0,0,0,0,1
oficina,0.5714,7,0,0,0,0,1
name,0.5,4,0,0,0,0,0
esquerra,0.5,8,0,0,0,1,1
don’t,0.2,5,0,0,0,0,0
object,0.3333,6,0,0,0,0,0
mitjà,0.2,5,1,0,0,0,1
fresc,0.2,5,0,0,0,0,1
meant,0.4,5,0,0,0,0,0
use,0.6667,3,0,0,0,0,0
paper,0.4,5,0,0,0,0,0
àmplia,0.3333,6,1,0,0,0,1
experience,0.5,10,0,0,0,0,0
habitual,0.5,8,0,0,0,0,1
plane,0.4,5,0,0,0,0,0
ocupat,0.5,6,0,0,0,0,1
natural,0.4286,7,0,0,0,0,0
patró,0.2,5,1,0,0,0,1
portar,0.3333,6,0,0,0,0,1
originals,0.4444,9,0,0,0,0,1
rellotge,0.375,8,0,0,0,0,1
shell,0.2,5,0,0,0,1,0
snow,0.25,4,0,0,0,0,0
qualsevol,0.4444,9,0,0,0,0,1
mine,0.5,4,0,0,0,0,0
catch,0.2,5,0,0,0,1,0
parell,0.3333,6,0,0,0,0,1
machine,0.4286,7,0,0,0,1,0
motion,0.5,6,0,0,0,0,0
puntuació,0.4444,9,1,0,0,0,1
row,0.3333,3,0,0,0,0,0
vadonar,0.4286,7,0,0,0,0,1
seient,0.5,6,0,0,0,0,1
casa,0.5,4,0,0,0,0,1
death,0.4,5,0,0,0,1,0
probable,0.375,8,0,0,0,0,0
over,0.5,4,0,0,0,0,0
arm,0.3333,3,0,0,0,0,0
visit,0.4,5,0,0,0,0,0
nosaltres,0.3333,9,0,0,0,0,1
bit,0.3333,3,0,0,0,0,0
quick,0.4,5,0,0,0,1,0
yard,0.25,4,0,0,0,0,0
bastant,0.2857,7,0,0,0,0,1
temps,0.2,5,0,0,0,0,1
plau,0.5,4,0,0,0,0,1
guide,0.6,5,0,0,0,0,0
significat,0.4,10,0,0,0,0,1
food,0.5,4,0,0,1,0,0
star,0.25,4,0,0,0,0,0
bar,0.3333,3,0,0,0,0,1
corner,0.3333,6,0,0,0,0,0
between,0.4286,7,0,0,1,1,0
area,0.75,4,0,0,0,0,0
among,0.4,5,0,0,0,0,0
solució,0.4286,7,1,0,0,0,1
vaixell,0.4286,7,0,0,0,0,1
speed,0.4,5,0,0,1,0,0
off,0.3333,3,0,0,0,1,1
hivern,0.3333,6,0,0,0,0,1
braç,0.25,4,0,1,0,0,1
group,0.4,5,0,0,0,0,0
ànec,0.25,4,1,0,0,0,1
seure,0.6,5,0,0,0,0,1
some,0.5,4,0,0,0,0,0
pregunto,0.375,8,0,0,0,0,1
imant,0.4,5,0,0,0,0,1
fear,0.5,4,0,0,0,0,0
length,0.1667,6,0,0,0,1,0
podia,0.6,5,0,0,0,0,1
engine,0.5,6,0,0,0,0,0
llibre,0.3333,6,0,0,0,0,1
real,0.5,4,0,0,0,0,0
idea,0.75,4,0,0,0,0,1
així,0.5,4,1,0,0,0,1
primer,0.3333,6,0,0,0,0,1
campana,0.4286,7,0,0,0,0,1
nou,0.6667,3,0,0,0,0,1
diners,0.3333,6,0,0,0,0,1
blue,0.5,4,0,0,0,0,0
office,0.5,6,0,0,0,1,0
where,0.4,5,0,0,0,1,0
like,0.5,4,0,0,0,0,0
vestit,0.3333,6,0,0,0,0,1
cua,0.6667,3,0,0,0,0,1
hurry,0.2,5,0,0,0,0,0
nation,0.5,6,0,0,0,0,0
dama,0.5,4,0,0,0,0,1
tocar,0.4,5,0,0,0,0,1
before,0.5,6,0,0,0,0,0
of,0.5,2,0,0,0,0,0
demostrar,0.3333,9,0,0,0,0,1
continuació,0.4545,11,1,0,0,0,1
cap,0.3333,3,0,0,0,0,1
cantonada,0.4444,9,0,0,0,0,1
correct,0.2857,7,0,0,0,0,0
skill,0.2,5,0,0,0,1,0
receive,0.5714,7,0,0,0,0,0
llet,0.25,4,0,0,0,0,1
boy,0.3333,3,0,0,0,0,0
main,0.5,4,0,0,0,0,0
rotllo,0.3333,6,0,0,0,0,1
then,0.25,4,0,0,0,1,0
slave,0.4,5,0,0,0,0,0
tone,0.5,4,0,0,0,0,0
eren,0.5,4,0,0,0,0,1
south,0.4,5,0,0,0,1,0
mercat,0.3333,6,0,0,0,0,1
tie,0.6667,3,0,0,0,0,0
poblar,0.3333,6,0,0,0,0,1
frase,0.4,5,0,0,0,0,1
vostè,0.2,5,1,0,0,0,1
sobre,0.4,5,0,0,0,0,1
visita,0.5,6,0,0,0,0,1
endevinar,0.4444,9,0,0,0,0,1
molts,0.2,5,0,0,0,0,1
supply,0.1667,6,0,0,0,1,0
calor,0.4,5,0,0,0,0,1
forward,0.2857,7,0,0,0,0,0
would,0.4,5,0,0,0,0,0
filferro,0.375,8,0,0,0,0,1
batre,0.4,5,0,0,0,0,1
arribar,0.4286,7,0,0,0,0,1
little,0.3333,6,0,0,0,1,0
melodia,0.5714,7,0,0,0,0,1
square,0.5,6,0,0,0,1,0
dress,0.2,5,0,0,0,0,0
clar,0.25,4,0,0,0,0,1
mina,0.5,4,0,0,0,0,1
wish,0.25,4,0,0,0,1,0
just,0.25,4,0,0,0,0,1
ràpid,0.2,5,1,0,0,0,1
port,0.25,4,0,0,0,0,0
common,0.3333,6,0,0,0,0,0
cap,0.3333,3,0,0,0,0,1
element,0.4286,7,0,0,0,0,0
electric,0.375,8,0,0,0,0,0
sal,0.3333,3,0,0,0,0,1
dad,0.3333,3,0,0,0,0,0
deal,0.5,4,0,0,0,0,0
polzades,0.375,8,0,0,0,0,1
començar,0.375,8,0,1,0,0,1
broke,0.4,5,0,0,0,0,0
tiny,0.25,4,0,0,0,0,0
sota,0.5,4,0,0,0,0,1
baix,0.5,4,0,0,0,0,1
thousand,0.375,8,0,0,0,1,0
all,0.3333,3,0,0,0,0,0
mentida,0.4286,7,0,0,0,0,1
quocient,0.5,8,0,0,0,0,1
blau,0.5,4,0,0,0,0,1
pattern,0.2857,7,0,0,0,1,0
tail,0.5,4,0,0,0,0,0
start,0.2,5,0,0,0,0,0
whose,0.4,5,0,0,0,1,0
guerra,0.5,6,0,0,0,0,1
moment,0.3333,6,0,0,0,0,1
pagar,0.4,5,0,0,0,0,1
que,0.6667,3,0,0,0,0,1
fins,0.25,4,0,0,0,0,1
unitat,0.5,6,0,0,0,0,1
instant,0.2857,7,0,0,0,0,0
ell,0.3333,3,0,0,0,0,1
premsa,0.3333,6,0,0,0,0,1
preparar,0.375,8,0,0,0,0,1
search,0.3333,6,0,0,0,1,0
edge,0.5,4,0,0,0,0,0
stay,0.25,4,0,0,0,0,0
bread,0.4,5,0,0,0,0,0
significarà,0.3636,11,1,0,0,0,1
caràcter,0.25,8,1,0,0,0,1
sortida,0.4286,7,0,0,0,0,1
cert,0.25,4,0,0,0,0,1
sembla,0.3333,6,0,0,0,0,1
shoulder,0.375,8,0,0,0,1,0
metge,0.4,5,0,0,0,0,1
carry,0.2,5,0,0,0,0,0
paraula,0.5714,7,0,0,0,0,1
also,0.5,4,0,0,0,0,0
reach,0.4,5,0,0,0,1,0
quart,0.4,5,0,0,0,0,1
joy,0.3333,3,0,0,0,0,0
directa,0.4286,7,0,0,0,0,1
certain,0.4286,7,0,0,0,0,0
heat,0.5,4,0,0,0,0,0
caure,0.6,5,0,0,0,0,1
walk,0.25,4,0,0,0,0,0
well,0.25,4,0,0,0,0,0
rub,0.3333,3,0,0,0,0,0
oh,0.5,2,0,0,0,0,0
necessitarà,0.3636,11,1,0,0,0,1
success,0.2857,7,0,0,0,0,0
gone,0.5,4,0,0,0,0,0
sucre,0.4,5,0,0,0,0,1
tipus,0.4,5,0,0,0,0,1
quite,0.6,5,0,0,0,0,0
ni,0.5,2,0,0,0,0,1
speak,0.4,5,0,0,0,0,0
front,0.2,5,0,0,0,0,0
capaç,0.4,5,0,1,0,0,1
floor,0.4,5,0,0,1,0,0
cotton,0.3333,6,0,0,0,1,0
pitch,0.2,5,0,0,0,1,0
calenta,0.4286,7,0,0,0,0,1
sentit,0.3333,6,0,0,0,0,1
cama,0.5,4,0,0,0,0,1
chart,0.2,5,0,0,0,1,0
fila,0.5,4,0,0,0,0,1
region,0.5,6,0,0,0,0,0
gel,0.3333,3,0,0,0,0,1
age,0.6667,3,0,0,0,0,0
sudden,0.3333,6,0,0,0,1,0
anar,0.5,4,0,0,0,0,1
figa,0.5,4,0,0,0,0,1
charge,0.3333,6,0,0,0,1,0
noon,0.5,4,0,0,1,0,0
cara,0.5,4,0,0,0,0,1
establir,0.375,8,0,0,0,0,1
tot,0.3333,3,0,0,0,0,1
now,0.3333,3,0,0,0,0,0
band,0.25,4,0,0,0,0,0
són,0.0,3,1,0,0,0,1
silver,0.3333,6,0,0,0,0,0
rich,0.25,4,0,0,0,1,0
farm,0.25,4,0,0,0,0,0
ascensor,0.375,8,0,0,0,0,1
support,0.2857,7,0,0,0,1,0
represent,0.3333,9,0,0,0,0,0
regió,0.4,5,1,0,0,0,1
hundred,0.2857,7,0,0,0,0,0
lay,0.3333,3,0,0,0,0,0
place,0.4,5,0,0,0,0,0
still,0.2,5,0,0,0,0,0
line,0.5,4,0,0,0,0,0
in,0.5,2,0,0,0,0,0
fet,0.3333,3,0,0,0,0,1
sigui,0.6,5,0,0,0,0,1
reunir,0.5,6,0,0,0,0,1
pocs,0.25,4,0,0,0,0,1
trouble,0.4286,7,0,0,0,0,0
especial,0.5,8,0,0,0,0,1
planta,0.3333,6,0,0,0,0,1
soil,0.5,4,0,0,0,0,0
fer,0.3333,3,0,0,0,0,1
wind,0.25,4,0,0,0,0,0
tipus,0.4,5,0,0,0,0,1
només,0.2,5,1,0,0,0,1
sabata,0.5,6,0,0,0,0,1
potser,0.3333,6,0,0,0,0,1
child,0.2,5,0,0,0,1,0
teach,0.4,5,0,0,0,1,0
poema,0.6,5,0,0,0,0,1
dollar,0.3333,6,0,0,0,0,0
liquid,0.5,6,0,0,0,0,0
product,0.2857,7,0,0,0,0,0
noun,0.5,4,0,0,0,0,0
vestit,0.3333,6,0,0,0,0,1
ell,0.3333,3,0,0,0,0,1
passat,0.3333,6,0,0,0,0,1
climb,0.2,5,0,0,0,0,0
cavall,0.3333,6,0,0,0,0,1
crop,0.25,4,0,0,0,0,0
process,0.2857,7,0,0,0,0,0
perill,0.3333,6,0,0,0,0,1
pare,0.5,4,0,0,0,0,1
feed,0.5,4,0,0,1,0,1
which,0.2,5,0,0,0,1,0
part,0.25,4,0,0,0,0,0
entre,0.4,5,0,0,0,0,1
does,0.5,4,0,0,0,0,0
governar,0.375,8,0,0,0,0,1
seva,0.5,4,0,0,0,0,1
sister,0.3333,6,0,0,0,0,0
loud,0.5,4,0,0,0,0,0
moment,0.3333,6,0,0,0,0,0
clean,0.4,5,0,0,0,0,0
happen,0.3333,6,0,0,0,1,0
forest,0.3333,6,0,0,0,0,0
street,0.3333,6,0,0,1,0,0
força,0.4,5,0,1,0,0,1
corrent,0.2857,7,0,0,0,0,1
mida,0.5,4,0,0,0,0,1
tercer,0.3333,6,0,0,0,0,1
massa,0.4,5,0,0,0,0,1
superfície,0.4,10,1,0,0,0,1
estirament,0.4,10,0,0,0,0,1
print,0.2,5,0,0,0,0,1
lletrejar,0.3333,9,0,0,0,0,1
grew,0.25,4,0,0,0,0,0
brillant,0.25,8,0,0,0,0,1
veure,0.6,5,0,0,0,0,1
oil,0.6667,3,0,0,0,0,0
occur,0.4,5,0,0,0,0,0
empènyer,0.25,8,1,0,0,0,1
triangle,0.375,8,0,0,0,0,0
negre,0.4,5,0,0,0,0,1
estrany,0.2857,7,0,0,0,0,1
llit,0.25,4,0,0,0,0,1
after,0.4,5,0,0,0,0,0
ready,0.4,5,0,0,0,0,0
near,0.5,4,0,0,0,0,0
necessary,0.3333,9,0,0,0,0,0
nens,0.25,4,0,0,0,0,1
always,0.3333,6,0,0,0,0,0
segueixi,0.625,8,0,0,0,0,1
coberta,0.4286,7,0,0,0,0,1
mort,0.25,4,0,0,0,0,1
llum,0.25,4,0,0,0,0,1
soroll,0.3333,6,0,0,0,0,1
insect,0.3333,6,0,0,0,0,0
it,0.5,2,0,0,0,0,0
thin,0.25,4,0,0,0,1,0
watch,0.2,5,0,0,0,1,0
somiar,0.5,6,0,0,0,0,1
green,0.4,5,0,0,1,0,0
oceà,0.5,4,1,0,0,0,1
nit,0.3333,3,0,0,0,0,1
bit,0.3333,3,0,0,0,0,1
nombre,0.3333,6,0,0,0,0,1
més,0.0,3,1,0,0,0,1
botiga,0.5,6,0,0,0,0,1
leave,0.6,5,0,0,0,0,0
organitzar,0.4,10,0,0,0,0,1
terra,0.4,5,0,0,0,0,1
ment,0.25,4,0,0,0,0,1
hand,0.25,4,0,0,0,0,0
people,0.5,6,0,0,0,0,0
whole,0.4,5,0,0,0,1,0
recollir,0.375,8,0,0,0,0,1
ronda,0.4,5,0,0,0,0,1
prop,0.25,4,0,0,0,0,1
pluja,0.4,5,0,0,0,0,1
groc,0.25,4,0,0,0,0,1
speech,0.3333,6,0,0,1,1,0
soldier,0.4286,7,0,0,0,0,0
sorpresa,0.375,8,0,0,0,0,1
2:00,0.0,4,0,0,0,0,1
possible,0.375,8,0,0,0,0,1
kind,0.25,4,0,0,0,0,0
acabat,0.5,6,0,0,0,0,1
millor,0.3333,6,0,0,0,0,1
oferta,0.5,6,0,0,0,0,1
son,0.3333,3,0,0,0,0,0
junts,0.2,5,0,0,0,0,1
separate,0.5,8,0,0,0,0,0
cosa,0.5,4,0,0,0,0,1
took,0.5,4,0,0,1,0,0
fun,0.3333,3,0,0,0,0,0
millor,0.3333,6,0,0,0,0,1
kill,0.25,4,0,0,0,0,0
verb,0.25,4,0,0,0,0,0
word,0.25,4,0,0,0,0,0
list,0.25,4,0,0,0,0,0
secció,0.3333,6,1,0,0,0,1
fosc,0.25,4,0,0,0,0,1
amb,0.3333,3,0,0,0,0,1
score,0.4,5,0,0,0,0,0
sure,0.5,4,0,0,0,0,0
end,0.3333,3,0,0,0,0,0
figura,0.5,6,0,0,0,0,1
will,0.25,4,0,0,0,0,0
vora,0.5,4,0,0,0,0,1
pa,0.5,2,0,0,0,0,1
minute,0.5,6,0,0,0,0,0
idea,0.75,4,0,0,0,0,0
live,0.5,4,0,0,0,0,0
if,0.5,2,0,0,0,0,0
frase,0.4,5,0,0,0,0,1
value,0.6,5,0,0,0,0,0
we,0.5,2,0,0,0,0,0
girl,0.25,4,0,0,0,0,0
seva,0.5,4,0,0,0,0,1
neta,0.5,4,0,0,0,0,1
cercle,0.3333,6,0,0,0,0,1
en,0.5,2,0,0,0,0,1
repeat,0.5,6,0,0,0,0,0
pay,0.3333,3,0,0,0,0,0
vent,0.25,4,0,0,0,0,1
especially,0.4,10,0,0,0,0,0
arbre,0.4,5,0,0,0,0,1
day,0.3333,3,0,0,0,0,0
nothing,0.2857,7,0,0,0,1,0
joc,0.3333,3,0,0,0,0,1
fet,0.3333,3,0,0,0,0,1
practice,0.375,8,0,0,0,0,0
travel,0.3333,6,0,0,0,0,0
lluita,0.5,6,0,0,0,0,1
continent,0.3333,9,0,0,0,0,1
back,0.25,4,0,0,0,1,0
table,0.4,5,0,0,0,0,0
nadó,0.25,4,1,0,0,0,1
serra,0.4,5,0,0,0,0,1
variar,0.5,6,0,0,0,0,1
six,0.3333,3,0,0,0,0,0
mesurar,0.4286,7,0,0,0,0,1
fer,0.3333,3,0,0,0,0,1
actual,0.5,6,0,0,0,0,1
nature,0.5,6,0,0,0,0,0
tenir,0.4,5,0,0,0,0,1
whether,0.2857,7,0,0,0,1,0
spot,0.25,4,0,0,0,0,0
wing,0.25,4,0,0,0,0,0
miss,0.25,4,0,0,0,0,0
sound,0.4,5,0,0,0,0,0
pensat,0.3333,6,0,0,0,0,1
dance,0.4,5,0,0,0,0,0
rest,0.25,4,0,0,0,0,0
thing,0.2,5,0,0,0,1,0
that,0.25,4,0,0,0,1,0
home,0.5,4,0,0,0,0,1
entre,0.4,5,0,0,0,0,1
stick,0.2,5,0,0,0,1,0
acord,0.4,5,0,0,0,0,1
enviat,0.5,6,0,0,0,0,1
simple,0.3333,6,0,0,0,0,0
high,0.25,4,0,0,0,1,0
string,0.1667,6,0,0,0,0,1
observe,0.4286,7,0,0,0,0,0
method,0.3333,6,0,0,0,1,0
ruptura,0.4286,7,0,0,0,0,1
protegir,0.375,8,0,0,0,0,1
segur,0.4,5,0,0,0,0,1
pàgina,0.3333,6,1,0,0,0,1
ship,0.25,4,0,0,0,1,0
gentle,0.3333,6,0,0,0,0,0
moon,0.5,4,0,0,1,0,0
que,0.6667,3,0,0,0,0,1
broad,0.4,5,0,0,0,0,0
eye,0.6667,3,0,0,0,0,0
story,0.2,5,0,0,0,0,0
animal,0.5,6,0,0,0,0,0
moderna,0.4286,7,0,0,0,0,1
example,0.4286,7,0,0,0,0,0
open,0.5,4,0,0,0,0,0
you,0.6667,3,0,0,0,0,0
ascens,0.3333,6,0,0,0,0,1
forma,0.4,5,0,0,0,0,1
ease,0.75,4,0,0,0,0,0
entrar,0.3333,6,0,0,0,0,1
dona,0.5,4,0,0,0,0,1
ella,0.5,4,0,0,0,0,1
naturalesa,0.5,10,0,0,0,0,1
dictionary,0.4,10,0,0,0,0,0
tire,0.5,4,0,0,0,0,0
ajudar,0.5,6,0,0,0,0,1
develop,0.4286,7,0,0,0,0,0
banc,0.25,4,0,0,0,0,1
crit,0.25,4,0,0,0,0,1
full,0.25,4,0,0,0,0,1
banda,0.4,5,0,0,0,0,1
hi,0.5,2,0,0,0,0,1
alegria,0.5714,7,0,0,0,0,1
allow,0.4,5,0,0,0,0,0
perhaps,0.2857,7,0,0,0,0,0
fine,0.5,4,0,0,0,0,0
si,0.5,2,0,0,0,0,1
em,0.5,2,0,0,0,0,1
molecule,0.5,8,0,0,0,0,0
escola,0.5,6,0,0,0,0,1
slow,0.25,4,0,0,0,0,0
mètode,0.3333,6,1,0,0,0,1
guiar,0.6,5,0,0,0,0,1
set,0.3333,3,0,0,0,0,0
poble,0.4,5,0,0,0,0,1
llançar,0.2857,7,0,1,0,0,1
oberta,0.5,6,0,0,0,0,1
llac,0.25,4,0,0,0,0,1
animals,0.4286,7,0,0,0,0,1
white,0.4,5,0,0,0,1,0
hour,0.5,4,0,0,0,0,0
distant,0.2857,7,0,0,0,0,0
human,0.4,5,0,0,0,0,0
camió,0.4,5,1,0,0,0,1
tree,0.5,4,0,0,1,0,0
born,0.25,4,0,0,0,0,0
captures,0.375,8,0,0,0,0,1
sentit,0.3333,6,0,0,0,0,1
fruita,0.5,6,0,0,0,0,1
ocupat,0.5,6,0,0,0,0,1
targeta,0.4286,7,0,0,0,0,1
brillantor,0.3,10,0,0,0,0,1
prop,0.25,4,0,0,0,0,1
this,0.25,4,0,0,0,1,0
abric,0.4,5,0,0,0,0,1
feel,0.5,4,0,0,1,0,0
shine,0.4,5,0,0,0,1,0
break,0.4,5,0,0,0,0,0
créixer,0.2857,7,1,0,0,0,1
aconseguir,0.5,10,0,0,0,0,1
gos,0.3333,3,0,0,0,0,1
late,0.5,4,0,0,0,0,0
riu,0.6667,3,0,0,0,0,1
guardar,0.4286,7,0,0,0,0,1
illa,0.5,4,0,0,0,0,1
river,0.4,5,0,0,0,0,0
destacat,0.375,8,0,0,0,0,1
listen,0.3333,6,0,0,0,0,0
night,0.2,5,0,0,0,1,0
engeneral,0.4444,9,0,0,0,0,1
busy,0.25,4,0,0,0,0,0
arma,0.5,4,0,0,0,0,1
pare,0.5,4,0,0,0,0,1
plaça,0.4,5,0,1,0,0,1
big,0.3333,3,0,0,0,0,0
pass,0.25,4,0,0,0,0,0
reuneixen,0.5556,9,0,0,0,0,1
sòl,0.0,3,1,0,0,0,1
cada,0.5,4,0,0,0,0,1
fresh,0.2,5,0,0,0,1,0
condition,0.4444,9,0,0,0,0,0
he,0.5,2,0,0,0,0,0
consonant,0.3333,9,0,0,0,0,1
found,0.4,5,0,0,0,0,0
igual,0.6,5,0,0,0,0,1
halar,0.4,5,0,0,0,0,1
brown,0.2,5,0,0,0,0,1
separada,0.5,8,0,0,0,0,1
stop,0.25,4,0,0,0,0,0
number,0.3333,6,0,0,0,0,0
poem,0.5,4,0,0,0,0,0
level,0.4,5,0,0,0,0,0
si,0.5,2,0,0,0,0,1
créixer,0.2857,7,1,0,0,0,1
tall,0.25,4,0,0,0,0,0
large,0.4,5,0,0,0,0,0
capturat,0.375,8,0,0,0,0,1
parlar,0.3333,6,0,0,0,0,1
measure,0.5714,7,0,0,0,0,0
equiparar,0.5556,9,0,0,0,0,1
olor,0.5,4,0,0,0,0,1
give,0.5,4,0,0,0,0,0
crowd,0.2,5,0,0,0,0,0
probable,0.375,8,0,0,0,0,1
beauty,0.5,6,0,0,0,0,0
equal,0.6,5,0,0,0,0,0
saber,0.4,5,0,0,0,0,1
operate,0.5714,7,0,0,0,0,0
mount,0.4,5,0,0,0,0,0
one,0.6667,3,0,0,0,0,0
cultius,0.4286,7,0,0,0,0,1
llarg,0.2,5,0,0,0,0,1
minuts,0.3333,6,0,0,0,0,1
town,0.25,4,0,0,0,0,0
deixar,0.5,6,0,0,0,0,1
our,0.6667,3,0,0,0,0,0
moviment,0.375,8,0,0,0,0,1
paret,0.4,5,0,0,0,0,1
salvatge,0.375,8,0,0,0,0,1
campament,0.3333,9,0,0,0,0,1
qüestió,0.2857,7,1,0,0,0,1
mateixa,0.5714,7,0,0,0,0,1
raó,0.3333,3,1,0,0,0,1
conduir,0.4286,7,0,0,0,0,1
neck,0.25,4,0,0,0,1,0
power,0.4,5,0,0,0,0,0
to,0.5,2,0,0,0,0,1
lloc,0.25,4,0,0,0,0,1
poma,0.5,4,0,0,0,0,1
were,0.5,4,0,0,0,0,0
love,0.5,4,0,0,0,0,0
hunt,0.25,4,0,0,0,0,0
so,0.5,2,0,0,0,0,1
menjar,0.3333,6,0,0,0,0,1
coll,0.25,4,0,0,0,0,1
insectes,0.375,8,0,0,0,0,1
yes,0.3333,3,0,0,0,0,0
oli,0.6667,3,0,0,0,0,1
mix,0.3333,3,0,0,0,0,0
suportar,0.375,8,0,0,0,0,1
experiment,0.4,10,0,0,0,0,1
choose,0.5,6,0,0,1,1,0
encara,0.5,6,0,0,0,0,1
comptar,0.2857,7,0,0,0,0,1
are,0.6667,3,0,0,0,0,0
difficult,0.3333,9,0,0,0,1,0
ús,0.0,2,1,0,0,0,1
saltar,0.3333,6,0,0,0,0,1
possible,0.375,8,0,0,0,0,0
vela,0.5,4,0,0,0,0,1
bastant,0.2857,7,0,0,0,0,1
industry,0.25,8,0,0,0,0,0
original,0.5,8,0,0,0,0,0
surprise,0.375,8,0,0,0,0,0
fast,0.25,4,0,0,0,0,0
cobrar,0.3333,6,0,0,0,0,1
comprovar,0.3333,9,0,0,0,0,1
que,0.6667,3,0,0,0,0,1
segur,0.4,5,0,0,0,0,1
inventar,0.375,8,0,0,0,0,1
but,0.3333,3,0,0,0,0,0
women,0.4,5,0,0,0,0,0
sol,0.3333,3,0,0,0,0,1
paper,0.4,5,0,0,0,0,1
aliments,0.375,8,0,0,0,0,1
sugar,0.4,5,0,0,0,0,0
fit,0.3333,3,0,0,0,0,0
reply,0.2,5,0,0,0,0,0
section,0.4286,7,0,0,0,0,0
sense,0.4,5,0,0,0,0,0
molt,0.25,4,0,0,0,0,1
somni,0.4,5,0,0,0,0,1
law,0.3333,3,0,0,0,0,0
certa,0.4,5,0,0,0,0,1
persones,0.375,8,0,0,0,0,1
demà,0.25,4,1,0,0,0,1
sola,0.5,4,0,0,0,0,1
metall,0.3333,6,0,0,0,0,1
nota,0.5,4,0,0,0,0,1
season,0.5,6,0,0,0,0,0
interest,0.375,8,0,0,0,0,0
must,0.25,4,0,0,0,0,0
llavors,0.2857,7,0,0,0,0,1
estat,0.4,5,0,0,0,0,1
job,0.3333,3,0,0,0,0,0
exercici,0.5,8,0,0,0,0,1
heard,0.4,5,0,0,0,0,0
estimada,0.5,8,0,0,0,0,1
trobat,0.3333,6,0,0,0,0,1
respondre,0.3333,9,0,0,0,0,1
true,0.5,4,0,0,0,0,0
hill,0.25,4,0,0,0,0,0
much,0.25,4,0,0,0,1,0
company,0.2857,7,0,0,0,0,0
cada,0.5,4,0,0,0,0,1
casa,0.5,4,0,0,0,0,1
vary,0.25,4,0,0,0,0,0
ou,1.0,2,0,0,0,0,1
idioma,0.6667,6,0,0,0,0,1
best,0.25,4,0,0,0,0,0
her,0.3333,3,0,0,0,0,0
lliura,0.5,6,0,0,0,0,1
rose,0.5,4,0,0,0,0,0
pista,0.4,5,0,0,0,0,1
fall,0.25,4,0,0,0,0,0
morning,0.2857,7,0,0,0,0,0
determine,0.4444,9,0,0,0,0,0
fill,0.25,4,0,0,0,0,1
been,0.5,4,0,0,1,0,0
pintar,0.3333,6,0,0,0,0,1
canvi,0.4,5,0,0,0,0,1
noise,0.6,5,0,0,0,0,0
córrer,0.1667,6,1,0,0,0,1
held,0.25,4,0,0,0,0,0
figure,0.5,6,0,0,0,0,0
principal,0.3333,9,0,0,0,0,1
resta,0.4,5,0,0,0,0,1
seva,0.5,4,0,0,0,0,1
contra,0.3333,6,0,0,0,0,1
map,0.3333,3,0,0,0,0,0
verd,0.25,4,0,0,0,0,1
forat,0.4,5,0,0,0,0,1
never,0.4,5,0,0,0,0,0
